CVEDIS,ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,NOMBRE_DISTRITO_FEDERAL,LN_HOMBRES,LN_MUJERES,LN_NO_BINARIO,LN,ID_PERSON_GOBERNANTES,NOMBRE_DIPUTADO_ELECTO_2024,PARTIDO_2024,SKIN_TONE,PHOTO_URL
0101,1,AGUASCALIENTES,1,JESUS MARIA,177548,187397,0,364945,4462,Humberto Ambriz Delgadillo,PRI,#B29679,0101__HUMBERTO_AMBRIZ_DELGADILLO__FUERZA_Y_CORAZON_POR_MEXICO.png
0102,1,AGUASCALIENTES,2,AGUASCALIENTES,167781,179658,2,347441,244,Mónica Becerra Moreno,PAN,#B29679,0102__MONICA_BECERRA_MORENO__FUERZA_Y_CORAZON_POR_MEXICO.png
0103,1,AGUASCALIENTES,3,AGUASCALIENTES,184608,201407,1,386016,245,Paulo Gonzalo Martínez López,PAN,#B29679,0103__PAULO_GONZALO_MARTINEZ_LOPEZ__PAN.png
0201,2,BAJA CALIFORNIA,1,MEXICALI,163101,168808,1,331910,2742,Eva María Vásquez Hernández,PAN,#DEB6AD,0201__EVA_MARIA_VASQUEZ_HERNANDEZ__FUERZA_Y_CORAZON_POR_MEXICO.png
0202,2,BAJA CALIFORNIA,2,MEXICALI,168853,173813,1,342667,4480,Nancy Guadalupe Sánchez Arredondo,MORENA,#B29679,0202__NANCY_GUADALUPE_SANCHEZ_ARREDONDO__MORENA.png
0203,2,BAJA CALIFORNIA,3,ENSENADA,167135,167456,0,334591,4481,Claudia Lisbeth Moreno Ramírez,MORENA,#917153,0203__CLAUDIA_LISBETH_MORENO_RAMIREZ__MORENA.png
0204,2,BAJA CALIFORNIA,4,TIJUANA,184617,180060,0,364677,287,Socorro Irma Andazola Gómez,MORENA,#B29679,0204__SOCORRO_IRMA_ANDAZOLA_GÓMEZ__Morena.jpg
0205,2,BAJA CALIFORNIA,5,TIJUANA,199043,202885,1,401929,288,Evangelina Moreno Guerra,MORENA,#917153,0205__EVANGELINA_MORENO_GUERRA__MORENA.png
0206,2,BAJA CALIFORNIA,6,TIJUANA,188818,191957,0,380775,4490,Marcello Hinojosa Jiménez,MC,#917153,0206__MARCELLO_HINOJOSA_JIMÉNEZ__MC.jpg
0207,2,BAJA CALIFORNIA,7,MEXICALI,163895,163501,1,327397,4483,José Armando Fernández Samaniego,MORENA,#DEB6AD,0207__JOSÉ_ARMANDO_FERNÁNDEZ_SAMANIEGO__Morena.jpg
0208,2,BAJA CALIFORNIA,8,TIJUANA,180549,178197,0,358746,323,Fausto Gallardo García,PVEM,#B29679,0208__FAUSTO_GALLARDO_GARCIA__SIGAMOS_HACIENDO_HISTORIA.png
0209,2,BAJA CALIFORNIA,9,TECATE,181063,176231,0,357294,4484,Hilda Araceli Brown Figueredo,MORENA,#B29679,0209__HILDA_ARACELI_BROWN_FIGUEREDO__Morena.jpg
0301,3,BAJA CALIFORNIA SUR,1,LA PAZ,172370,172585,0,344955,4513,Manuel Alejandro Cota Cárdenas,MORENA,#917153,0301__MANUEL_ALEJANDRO_COTA_CÁRDENAS__SIGAMOS_HACIENDO_HISTORIA.jpg
0302,3,BAJA CALIFORNIA SUR,2,LOS CABOS,141002,127528,0,268530,3899,Luis Armando Díaz,PVEM,#917153,0302__LUIS_ARMANDO_DIAZ___SIGAMOS_HACIENDO_HISTORIA.png
0401,4,CAMPECHE,1,CAMPECHE,167895,179995,0,347890,6349,Elda Esther Del Carmen Castillo Quintana,MORENA, ,
0402,4,CAMPECHE,2,CARMEN,172100,174853,0,346953,4519,Gabriela Del Carmen Basto González,MORENA,#917153,0402__GABRIELA_DEL_CARMEN_BASTO_GONZÁLEZ__SIGAMOS_HACIENDO_HISTORIA.jpg
0501,5,COAHUILA DE ZARAGOZA,1,PIEDRAS NEGRAS,164485,164362,0,328847,725,Brigido Ramiro Moreno Hernández,MORENA,#B29679,0501__BRIGIDO_RAMIRO_MORENO_HERNANDEZ__SIGAMOS_HACIENDO_HISTORIA.png
0502,5,COAHUILA DE ZARAGOZA,2,SAN PEDRO,144724,146142,0,290866,726,Francisco Javier Borrego Adame,MORENA,#B29679,0502__FRANCISCO_JAVIER_BORREGO_ADAME__SIGAMOS_HACIENDO_HISTORIA.jpg
0503,5,COAHUILA DE ZARAGOZA,3,MONCLOVA,163013,167037,0,330050,4638,Theodoros Kalionchiz De La Fuente,PAN,#B29679,0503__THEODOROS_KALIONCHIZ_DE_LA_FUENTE__FUERZA_Y_CORAZÓN_POR_MÉXICO.jpg
0504,5,COAHUILA DE ZARAGOZA,4,SALTILLO,161895,169014,0,330909,683,Yerico Abramo Masso,PRI,#664B39,0504__YERICO_ABRAMO_MASSO__FUERZA_Y_CORAZON_POR_MEXICO.png
0505,5,COAHUILA DE ZARAGOZA,5,TORREON,133084,144013,0,277097,4639,José Guillermo Anaya Llamas,PAN,#B29679,0505__JOSE_GUILLERMO_ANAYA_LLAMAS__FUERZA_Y_CORAZON_POR_MEXICO.png
0506,5,COAHUILA DE ZARAGOZA,6,TORREON,130111,140398,0,270509,4654,Cintia Cuevas Sánchez,MORENA,#DEB6AD,0506__CINTIA_CUEVAS_SANCHEZ__SIGAMOS_HACIENDO_HISTORIA.png
0507,5,COAHUILA DE ZARAGOZA,7,SALTILLO,162347,164554,0,326901,4655,Antonio Lorenzo Castro Villarreal,PVEM,#785E4B,0507__ANTONIO_LORENZO_CASTRO_VILLARREAL__SIGAMOS_HACIENDO_HISTORIA.png
0508,5,COAHUILA DE ZARAGOZA,8,RAMOS ARIZPE,128925,127851,0,256776,4656,Hilda Magdalena Licerio Valdés,MORENA,#DEB6AD,0508__HILDA_MAGDALENA_LICERIO_VALDÉS__SIGAMOS_HACIENDO_HISTORIA.jpg
0601,6,COLIMA,1,COLIMA,148350,160667,0,309017,35,Leoncio Alfonso Morán Sánchez,MORENA,#B29679,
0602,6,COLIMA,2,MANZANILLO,137526,138948,0,276474,3297,Gricelda Valencia De La Mora,PT,#917153,0602__GRICELDA_VALENCIA_DE_LA_MORA__SIGAMOS_HACIENDO_HISTORIA.png
0701,7,CHIAPAS,1,PALENQUE,141484,150431,0,291915,4551,Carlos Morelos Rodríguez,MORENA,#B29679,0701__CARLOS_MORELOS_RODRÍGUEZ__SIGAMOS_HACIENDO_HISTORIA.jpg
